order_date,daily_orders,daily_revenue,avg_order_value
2024-01-01,1247,45231.89,36.28
2024-01-02,1198,42156.23,35.18
2024-01-03,1312,48923.45,37.32
2024-01-04,1287,46234.78,35.92
2024-01-05,1156,41234.12,35.68
2024-01-06,1432,52345.67,36.58
2024-01-07,1389,49876.54,35.91
2024-01-08,1223,44123.89,36.10
2024-01-09,1298,46789.23,36.06
2024-01-10,1345,48234.56,35.82
2024-01-11,1267,45678.90,36.04
2024-01-12,1189,42345.67,35.61
2024-01-13,1401,51234.78,36.57
2024-01-14,1334,47891.23,35.89
2024-01-15,342,12345.67,36.09
2024-01-16,1456,52345.89,35.97
2024-01-17,1278,46234.56,36.18
2024-01-18,1367,49123.78,35.92
2024-01-19,1245,44891.23,36.05
2024-01-20,1298,46789.34,36.06
2024-01-21,1412,51234.67,36.28
2024-01-22,1323,47567.89,35.92
2024-01-23,1187,42678.90,35.93
2024-01-24,1389,50123.45,36.09
2024-01-25,1345,48234.78,35.82
2024-01-26,1267,45678.34,36.04
2024-01-27,1456,52345.67,35.97
2024-01-28,1298,46789.23,36.06
2024-01-29,1378,49678.90,36.07
2024-01-30,1234,44456.78,36.02
